x,y,cell_id,population,infected_DM_0,infected_DM_1,infected_DM_2,infected_DM_3,u,var,sd,IoD,CoV
-2.2205907,53.4573979,5.58457E+18,34,0,0,1,0,0.25,0.25,0.5,1,2
-2.220656,53.4699817,2.53133E+16,60,0,0,1,0,0.25,0.25,0.5,1,2
-2.2206654,53.4717794,-5.84933E+18,56,1,0,1,1,0.75,0.25,0.5,0.333333333,0.666666667
-2.2207494,53.4879584,-2.95804E+18,156,1,2,4,2,2.25,1.583333333,1.258305739,0.703703704,0.559246995
-2.2207962,53.4969468,-1.02133E+18,20,0,1,1,1,0.75,0.25,0.5,0.333333333,0.666666667
-2.2208102,53.4996433,4.10884E+18,116,3,0,3,1,1.75,2.25,1.5,1.285714286,0.857142857
-2.2209131,53.5194176,7.76795E+18,115,1,4,3,3,2.75,1.583333333,1.258305739,0.575757576,0.457565723
-2.2212508,53.5841331,9.1215E+18,56,1,0,0,0,0.25,0.25,0.5,1,2
-2.2192099,53.4816693,2.51758E+18,444,6,2,6,4,4.5,3.666666667,1.914854216,0.814814815,0.425523159
-2.219312,53.5014437,-7.17164E+18,17,0,0,0,1,0.25,0.25,0.5,1,2
-2.2193445,53.5077356,-7.77121E+18,88,1,2,2,1,1.5,0.333333333,0.577350269,0.222222222,0.384900179
-2.2193491,53.5086344,-2.18957E+18,148,3,2,0,1,1.5,1.666666667,1.290994449,1.111111111,0.860662966
-2.219391,53.5167239,-3.40864E+18,111,2,2,2,1,1.75,0.25,0.5,0.142857143,0.285714286
-2.2194096,53.5203192,4.94211E+18,91,2,2,1,4,2.25,1.583333333,1.258305739,0.703703704,0.559246995
-2.2194933,53.5364981,-4.93587E+18,23,0,2,0,1,0.75,0.916666667,0.957427108,1.222222222,1.276569477
-2.2176201,53.465493,-2.08293E+18,196,1,1,0,0,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2176846,53.4780768,-7.03411E+17,42,0,2,0,0,0.5,1,1,2,2
-2.2176892,53.4789756,5.55843E+18,444,1,4,2,1,2,2,1.414213562,1,0.707106781
-2.2177399,53.4888628,-8.57695E+18,41,1,0,0,0,0.25,0.25,0.5,1,2
-2.2177768,53.4960535,-7.90831E+18,42,1,0,2,0,0.75,0.916666667,0.957427108,1.222222222,1.276569477
-2.217786,53.4978511,-6.63243E+18,23,0,0,1,0,0.25,0.25,0.5,1,2
